Attractor count,Shortest path,Truth tables,Accuracy,Precision,Recall,F1 score,In-degree similarity,Running time
33.33333333333333,72.22222222222223,58.333333333333336,58,25,18,21,92,5.334757566452026
77.77777777777777,72.22222222222223,75.0,67,46,55,50,89,5.277315855026245
33.33333333333333,72.22222222222223,64.5,67,44,36,40,83,5.291377305984497
33.333333333333336,50.0,50.0,56,27,27,27,89,5.291226387023926
77.77777777777777,75.0,72.83333333333333,61,36,36,36,94,5.2074596881866455
77.77777777777777,61.111111111111114,81.33333333333333,69,50,45,47,86,5.074639320373535
100.0,72.22222222222223,41.666666666666664,58,36,45,40,86,5.231295824050903
55.55555555555555,69.44444444444444,43.666666666666664,47,17,18,17,92,5.132075309753418
33.33333333333333,72.22222222222223,64.66666666666667,69,50,45,47,86,5.118391513824463
55.55555555555555,75.0,74.83333333333333,61,36,36,36,89,5.473246335983276
100.0,63.888888888888886,62.5,67,44,36,40,89,5.070771932601929
77.77777777777777,69.44444444444444,45.833333333333336,58,33,36,34,86,4.995870351791382
77.77777777777777,55.55555555555556,62.5,64,40,36,38,92,5.143568992614746
77.77777777777777,47.22222222222222,45.833333333333336,58,25,18,21,92,5.2395994663238525
100.0,52.77777777777778,62.333333333333336,58,33,36,34,86,5.14315390586853
77.77777777777777,63.888888888888886,66.66666666666667,56,22,18,20,94,5.048516035079956
44.444444444444436,69.44444444444444,60.5,50,18,18,18,89,5.153462886810303
77.77777777777777,77.77777777777777,53.166666666666664,69,50,55,52,86,5.165598392486572
77.77777777777777,58.333333333333336,50.0,58,25,18,21,92,5.100913047790527
55.55555555555555,72.22222222222223,47.5,47,21,27,24,75,4.996234178543091
66.66666666666666,69.44444444444444,46.0,53,25,27,26,86,5.347487449645996
33.333333333333336,41.666666666666664,45.833333333333336,50,23,27,25,89,5.153464317321777
33.333333333333336,72.22222222222223,64.66666666666667,53,25,27,26,97,5.024980783462524
77.77777777777777,66.66666666666667,44.166666666666664,72,53,73,61,78,5.055054664611816
77.77777777777777,80.55555555555556,39.666666666666664,56,31,36,33,83,5.1368091106414795
77.77777777777777,55.55555555555556,58.333333333333336,67,45,45,45,89,5.081506967544556
33.333333333333336,58.333333333333336,56.333333333333336,58,30,27,28,92,5.117772817611694
44.44444444444444,72.22222222222223,60.0,61,40,55,46,78,5.1102213859558105
33.33333333333333,72.22222222222223,60.333333333333336,69,50,55,52,92,5.191757678985596
100.0,66.66666666666667,60.333333333333336,58,33,36,34,92,5.025883674621582
